Layer,System,New_SEI_Hosts_or_Endpoint,Sizing_RAM,Sizing_CPU,Sizing_Storage_or_Capacity,Growth,Hosting,Direction,Protocol_Port,Status_or_Notes,Project,Zone,Component,Display_Order
File System,CPHUB Landing Share,\\qcwebfs.testbbh.com\cphub$,Not Applicable,Not Applicable,20GB,TBD,BBH,Internal,TBD,QC regional landing share,SEI,APPLICATION,FILE_SHARE,
Database,IMDS,rdlimdsdb.testbbh.com; rdlimdsapp.testbbh.com,62 GB,8,6 TB,Minimal Growth,BBH,Internal,Oracle JDBC port TBD,New SEI Trial/UAT environment,SEI,DATA,DATA_HUB,2
Database,PBDW,QCLPBDB3.testbbh.com; qclodiapp3sei.testbbh.com; qclodidb3sei.testbbh.com,62 GB,8,4 TB,Minimal Growth,BBH,Internal,TBD,New SEI Trial/UAT environment,SEI,DATA,DATA_HUB,1
Consumer,Pivotal,QCWPIVAUPGSEI1.testbbh.com; QCWPIVAUPGSEI2.testbbh.com; QCWPIVSEIDB4.testbbh.com; QCWPIVSEIDB5.testbbh.com; QCWPIVINTSEI2.testbbh.com,16 GB,4,C: 100 GB; D: 250 GB,Minimal Growth,BBH,Outbound,TBD,Sizing populated as supplied,SEI,APPLICATION,CONSUMERS,
Consumer,CRD,Azure-hosted vendor application,Vendor Managed,Vendor Managed,TBD,TBD,Vendor Azure,Outbound,TBD,CRD sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,Client Portal,qcltasap235.testbbh.com,12 GB,2,350 GB,TBD,BBH RHEL,Outbound,TBD,New SEI Trial/UAT host,SEI,APPLICATION,CONSUMERS,
Consumer,PORT,New PORT test instance,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,Bloomberg vendor,Outbound,TBD,Smaller than production limits,SEI,APPLICATION,CONSUMERS,
Platform,Momentum MFT,Momentum MFT engine,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Internal,TBD,Moves drop zone to landing - rename-atomic,SHARED,DMZ,DATA_MOVEMENT,
Platform,PingFederate,ping-idp-01.bbh.com; ping-idp-02.bbh.com,TBD,TBD,TBD,TBD,BBH,Bidirectional,HTTPS 443,User SSO to SWP desktop; SAML/OIDC federation to SEI,SHARED,CORP,IDENTITY,
Platform,OCP Ingress,ocpq router - ops/admin route only,Not Applicable,Not Applicable,Not Applicable,TBD,BBH OpenShift,Inbound,HTTPS 443,Operations access only - users never traverse hub,SEI,APPLICATION,INTEGRATION_HUB,
Platform,Observability Stack,Splunk HEC; Vault; OIDC,TBD,TBD,TBD,TBD,BBH,Internal,8088,Hub telemetry and secrets,SHARED,CORP,IDENTITY,
Platform,CP Integration Hub,Production OpenShift cluster and namespace TBD,16GB,16,25GB,TBD,BBH OpenShift,Bidirectional,TBD,Production platform details TBD,SEI,APPLICATION,INTEGRATION_HUB,
File System,CPHUB Landing Share,Production cphub share TBD,Not Applicable,Not Applicable,20GB,TBD,BBH,Internal,TBD,Production share TBD,SEI,APPLICATION,FILE_SHARE,
Database,IMDS,njlimdsdb.bbh.com; njlimdsapp.bbh.com,62GB,8,6TB,TBD,BBH,Internal,Oracle JDBC port TBD,Production sizing TBD,SEI,DATA,DATA_HUB,2
Database,PBDW,njlpbdb3.bbh.com; njlodiapp3sei.bbh.com; njlodidb3sei.bbh.com,62GB,8,6TB,TBD,BBH,Internal,TBD,Production sizing TBD,SEI,DATA,DATA_HUB,1
Consumer,Pivotal,NJWPIVCRMINT.bbh.com; NJWPIVCRMMKT.bbh.com; NJWPIVCRM1.bbh.com; NJWPIVCRM2.bbh.com; NJWPIVCRMUX1.bbh.com; NJWPIVCRMDB2.bbh.com,16GB,4,100GB,TBD,BBH,Outbound,TBD,Production sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,CRD,CRD production vendor environment,Vendor Managed,Vendor Managed,Vendor Managed,TBD,Vendor Azure,Outbound,TBD,Production CRD sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,Client Portal,njtasap12.bbh.com; njtas2ap12.bbh.com; njtas3ap12.bbh.com; njtas4ap12.bbh.com,12GB,2,350GB,TBD,BBH RHEL,Outbound,TBD,Production sizing TBD,SEI,APPLICATION,CONSUMERS,
Consumer,PORT,Bloomberg PORT production,Vendor Managed,Vendor Managed,25 accounts; 3000 securities,TBD,Bloomberg vendor,Outbound,TBD,Production PORT capacity TBD,SEI,APPLICATION,CONSUMERS,
Platform,Momentum MFT,Momentum MFT engine,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Internal,TBD,Moves drop zone to landing - rename-atomic,SHARED,DMZ,DATA_MOVEMENT,
Platform,PingFederate,ping-idp-01.bbh.com; ping-idp-02.bbh.com,TBD,TBD,TBD,TBD,BBH,Bidirectional,HTTPS 443,User SSO to SWP desktop; SAML/OIDC federation to SEI,SHARED,CORP,IDENTITY,
Platform,OCP Ingress,prod OCP router - ops/admin route only,Not Applicable,Not Applicable,Not Applicable,TBD,BBH OpenShift,Inbound,HTTPS 443,Operations access only - users never traverse hub,SEI,APPLICATION,INTEGRATION_HUB,
Platform,Observability Stack,Splunk HEC; Vault; OIDC,TBD,TBD,TBD,TBD,BBH,Internal,8088,Hub telemetry and secrets,SHARED,CORP,IDENTITY,
External API,SEI API Proxy Egress,192.200.8.0/24; 192.200.5.0/24; 204.136.26.0/24,Not Applicable,Not Applicable,Not Applicable,TBD,BBH to SEI,Outbound,HTTPS 443,IP ranges to be whitelisted by SEI,SEI,UNTRUSTED,EXTERNAL,
External SFTP,SEI to BBH SFTP,qcsecureftp.bbh.com,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Inbound,SFTP 22,SEI source IPs whitelisted by BBH,SEI,DMZ,DATA_MOVEMENT,
External SFTP,SEI to BBH SFTP,secureftp.bbh.com,Not Applicable,Not Applicable,Not Applicable,TBD,BBH MFT,Inbound,SFTP 22,Production SFTP account seiswp_sftp,SEI,DMZ,DATA_MOVEMENT,
External API,SEI SWP Platform,SEI batch + api endpoints (vendor side),Not Applicable,Not Applicable,Not Applicable,TBD,Vendor SaaS,Inbound,HTTPS 443,Vendor platform - no BBH control,SEI,UNTRUSTED,EXTERNAL,
External API,SEI SaaS SWP Desktop,SWP desktop UI - user SSO via PingFederate,Not Applicable,Not Applicable,Not Applicable,TBD,Vendor SaaS,Outbound,HTTPS 443,Users connect direct - SSO BBH to SEI,SEI,UNTRUSTED,EXTERNAL,
